,Name,School,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS
2145,Torrey Craig,USC Upstate,131.0,124.0,31.0,5.7,13.8,0.413,3.4,6.9,0.495,2.3,6.9,0.33,2.6,3.8,0.6709999999999999,2.1,5.1,7.2,1.8,1.1,0.8,2.6,2.5,16.2,-2.98
2146,Tyler Dorsey,Oregon,75.0,74.0,30.0,4.6,10.0,0.455,2.5,5.1,0.493,2.1,5.0,0.41600000000000004,2.9,3.9,0.732,1.1,2.8,3.9,1.8,0.8,0.1,1.7,1.8,14.1,8.51
2148,Milton Doyle,Loyola (IL),121.0,98.0,30.4,4.4,10.2,0.43799999999999994,3.3,6.8,0.484,1.2,3.4,0.344,3.2,4.5,0.718,0.7,3.4,4.1,3.8,1.2,0.6,3.1,2.6,13.3,0.36
2149,PJ Dozier,South Carolina,70.0,64.0,24.0,4.0,10.1,0.39799999999999996,3.3,7.4,0.442,0.7,2.7,0.27699999999999997,1.6,2.8,0.579,0.9,3.0,3.9,2.4,1.3,0.3,2.4,2.6,10.4,7.99
2150,Jawun Evans,Oklahoma State,54.0,52.0,29.1,5.7,12.7,0.44799999999999995,4.7,10.2,0.45799999999999996,1.0,2.5,0.40700000000000003,4.2,5.1,0.818,0.6,3.2,3.8,5.8,1.5,0.1,2.7,2.4,16.6,10.51
2151,Markelle Fultz,Washington,25.0,25.0,35.7,8.4,17.6,0.47600000000000003,6.3,12.5,0.502,2.1,5.0,0.413,4.4,6.7,0.649,1.3,4.4,5.7,5.9,1.6,1.2,3.2,2.5,23.2,6.82
2153,Daniel Hamilton,UConn,71.0,71.0,31.6,4.2,10.9,0.384,2.9,7.1,0.409,1.3,3.9,0.337,2.0,2.6,0.772,1.0,7.3,8.3,4.2,1.0,0.4,2.3,2.1,11.7,5.25
2154,Shaquille Harrison,Tulsa,133.0,133.0,30.2,3.9,8.7,0.444,3.6,7.5,0.479,0.2,1.2,0.21600000000000003,3.2,4.9,0.645,0.9,3.6,4.5,3.5,1.8,0.4,2.3,2.3,11.1,2.67
2155,Josh Hart,Villanova,146.0,77.0,28.0,4.6,9.1,0.511,3.2,5.4,0.5920000000000001,1.4,3.6,0.389,2.5,3.4,0.72,1.7,3.8,5.6,1.8,1.1,0.3,1.3,2.2,13.2,8.51
2156,Nigel Hayes,Wisconsin,150.0,112.0,29.6,4.0,9.1,0.446,3.4,7.0,0.478,0.7,2.0,0.332,3.6,5.5,0.6659999999999999,1.8,3.5,5.3,2.1,0.9,0.4,1.6,2.1,12.4,9.82
2157,Reggie Hearn,Northwestern,95.0,63.0,20.2,2.3,5.1,0.457,1.5,2.8,0.541,0.8,2.3,0.353,1.6,2.1,0.752,0.7,2.1,2.8,1.0,0.6,0.2,1.2,1.9,7.1,7.17
2159,Isaiah Hicks,UNC,151.0,45.0,16.2,2.8,4.9,0.573,2.8,4.9,0.5770000000000001,0.0,0.0,0.16699999999999998,1.8,2.5,0.725,1.5,2.2,3.6,0.7,0.3,0.5,1.1,2.5,7.4,10.66
2160,John Holland,Boston University,129.0,108.0,32.5,5.6,12.9,0.434,3.6,7.4,0.493,2.0,5.6,0.355,4.0,4.9,0.807,1.7,3.9,5.6,1.2,1.6,0.3,1.9,2.5,17.1,-4.23
2161,Vince Hunter,UTEP,67.0,58.0,27.1,4.9,9.1,0.54,4.9,8.9,0.544,0.1,0.2,0.33299999999999996,3.7,6.1,0.604,2.5,5.4,7.9,1.5,1.0,0.9,2.4,3.1,13.6,-0.23
2162,Andre Ingram,American,118.0,117.0,33.2,4.7,12.1,0.39299999999999996,2.5,6.2,0.401,2.2,5.8,0.385,2.3,2.9,0.787,0.9,3.6,4.5,1.7,1.0,0.1,1.8,1.7,14.0,-5.01
